scenario,rep,seed,peak_believer_ratio,time_to_peak,final_believer_ratio,final_corrected_ratio,total_exposure
baixa_verificacao,0,2026,0.4696875,15,0.0,0.98078125,8.61640625
baixa_verificacao,1,2027,0.4884375,16,0.0,0.98703125,9.088125
baixa_verificacao,2,2028,0.48515625,14,0.0,0.98609375,8.758750000000001
baixa_verificacao,3,2029,0.46203125,15,0.0,0.98734375,8.54015625
baixa_verificacao,4,2030,0.42984375,14,0.0,0.983125,8.66734375
baixa_verificacao,5,2031,0.48859375,15,0.0,0.98796875,8.84828125
baixa_verificacao,6,2032,0.4990625,14,0.0,0.98390625,8.895468750000001
baixa_verificacao,7,2033,0.49296875,16,0.0,0.98984375,8.96796875
baixa_verificacao,8,2034,0.4603125,14,0.0,0.98484375,8.721718749999999
baixa_verificacao,9,2035,0.485,15,0.0,0.98703125,8.8103125
baixa_verificacao,10,2036,0.46390625,15,0.0,0.98546875,9.0975
baixa_verificacao,11,2037,0.4153125,15,0.0,0.9828125,8.48046875
baixa_verificacao,12,2038,0.466875,15,0.0,0.9825,8.63640625
baixa_verificacao,13,2039,0.48421875,15,0.0,0.98484375,8.6803125
baixa_verificacao,14,2040,0.48765625,15,0.0,0.9853125,9.0046875
baixa_verificacao,15,2041,0.47140625,16,0.0,0.9865625,8.81640625
baixa_verificacao,16,2042,0.48765625,15,0.0,0.9853125,8.83375
baixa_verificacao,17,2043,0.471875,15,0.0,0.98921875,8.53234375
baixa_verificacao,18,2044,0.42015625,16,0.0,0.97890625,8.22640625
baixa_verificacao,19,2045,0.5146875,15,0.0,0.98921875,9.18078125
verificacao_moderada,0,3026,0.30640625,13,0.0,0.94640625,5.6240625
verificacao_moderada,1,3027,0.351875,13,0.0,0.9515625,5.894375
verificacao_moderada,2,3028,0.29796875,13,0.0,0.94921875,5.780625
verificacao_moderada,3,3029,0.34515625,12,0.0,0.95109375,5.90203125
verificacao_moderada,4,3030,0.273125,13,0.0,0.95296875,5.610625
verificacao_moderada,5,3031,0.308125,13,0.0,0.9521875,5.78953125
verificacao_moderada,6,3032,0.3115625,13,0.0,0.95,5.68234375
verificacao_moderada,7,3033,0.3428125,12,0.0,0.9509375,5.82078125
verificacao_moderada,8,3034,0.30390625,13,0.0,0.94515625,5.7582812500000005
verificacao_moderada,9,3035,0.33171875,12,0.0,0.955625,5.93640625
verificacao_moderada,10,3036,0.345,12,0.0,0.95796875,5.846875
verificacao_moderada,11,3037,0.31515625,13,0.0,0.9484375,5.66203125
verificacao_moderada,12,3038,0.3234375,13,0.0,0.94796875,5.8784375
verificacao_moderada,13,3039,0.308125,13,0.0,0.94296875,5.5756250000000005
verificacao_moderada,14,3040,0.32515625,13,0.0,0.94765625,5.67109375
verificacao_moderada,15,3041,0.3328125,12,0.0,0.9515625,5.94953125
verificacao_moderada,16,3042,0.34125,12,0.0,0.95703125,5.87703125
verificacao_moderada,17,3043,0.33125,13,0.0,0.95390625,5.80984375
verificacao_moderada,18,3044,0.28359375,13,0.0,0.94703125,5.60640625
verificacao_moderada,19,3045,0.32921875,13,0.0,0.9440625,5.710625
verificacao_intensa,0,4026,0.23359375,11,0.0,0.88015625,4.1965625
verificacao_intensa,1,4027,0.23109375,11,0.0,0.86859375,4.05484375
verificacao_intensa,2,4028,0.22171875,12,0.0,0.8865625,4.19765625
verificacao_intensa,3,4029,0.21328125,11,0.0,0.8375,3.82828125
verificacao_intensa,4,4030,0.19796875,11,0.0,0.86109375,3.9190625
verificacao_intensa,5,4031,0.21984375,11,0.0,0.84984375,3.97015625
verificacao_intensa,6,4032,0.21140625,11,0.0,0.84890625,3.8959375
verificacao_intensa,7,4033,0.16203125,12,0.0,0.855,3.86234375
verificacao_intensa,8,4034,0.196875,12,0.0,0.8759375,3.984375
verificacao_intensa,9,4035,0.17203125,12,0.0,0.854375,3.84140625
verificacao_intensa,10,4036,0.17765625,13,0.0,0.8615625,3.9146875
verificacao_intensa,11,4037,0.21703125,11,0.0,0.88171875,4.0309375
verificacao_intensa,12,4038,0.21578125,11,0.0,0.8784375,4.0165625
